"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.location","Input.description1","Input.description2","Input.control1","Input.control2","Answer.Answer","Approve","Reject"
"32L724R86PZHRTDMS1P3L5RX303IPZ","3G39WTVP4GNUXFB6S0SNR0K0RFO6L8","Answer one multiple choice question about a location and its descriptions.","Please choose the description which best suits the location.","descriptions, writing","$0.02","Sun May 09 21:37:57 PDT 2021","10","BatchId:4436285;OriginalHitTemplateId:928390912;","3600","259200","Sun May 16 21:37:57 PDT 2021","","","33C7UALJVQDN7FF1OF7OW3A8MVF81E","A38TQ8C4CHZ6UW","Submitted","Sun May 09 22:23:23 PDT 2021","Sun May 09 22:24:21 PDT 2021","Wed May 12 22:24:21 PDT 2021","","","","58","0% (0/0)","0% (0/0)","0% (0/0)","Asian Mll, Westminster, California","It is an indoor mall where you can try a lot of delicious Vietnamese's foods. There are jewelry stores and clothing stores.","Beautiful shopping mall with all kind so products, food and shopping stuff but tourist never find out about it.","Like location. Is very fun go with friends and party.","Really beaut. I want go for fun. Is very interesting place. Blogging is fun.","d1"
"32L724R86PZHRTDMS1P3L5RX303IPZ","3G39WTVP4GNUXFB6S0SNR0K0RFO6L8","Answer one multiple choice question about a location and its descriptions.","Please choose the description which best suits the location.","descriptions, writing","$0.02","Sun May 09 21:37:57 PDT 2021","10","BatchId:4436285;OriginalHitTemplateId:928390912;","3600","259200","Sun May 16 21:37:57 PDT 2021","","","33SA9F9TR29XHH5VY6I9H3WOTCVWEB","AU2XBHG6Q0U8E","Submitted","Mon May 10 01:05:23 PDT 2021","Mon May 10 01:05:38 PDT 2021","Thu May 13 01:05:38 PDT 2021","","","","15","0% (0/0)","0% (0/0)","0% (0/0)","Asian Mll, Westminster, California","It is an indoor mall where you can try a lot of delicious Vietnamese's foods. There are jewelry stores and clothing stores.","Beautiful shopping mall with all kind so products, food and shopping stuff but tourist never find out about it.","Like location. Is very fun go with friends and party.","Really beaut. I want go for fun. Is very interesting place. Blogging is fun.","d1"
"32L724R86PZHRTDMS1P3L5RX303IPZ","3G39WTVP4GNUXFB6S0SNR0K0RFO6L8","Answer one multiple choice question about a location and its descriptions.","Please choose the description which best suits the location.","descriptions, writing","$0.02","Sun May 09 21:37:57 PDT 2021","10","BatchId:4436285;OriginalHitTemplateId:928390912;","3600","259200","Sun May 16 21:37:57 PDT 2021","","","3C44YUNSI64252UUQPTUJR67029PDW","A1L0NX3MX9I4AU","Submitted","Sun May 09 21:43:07 PDT 2021","Sun May 09 21:43:20 PDT 2021","Wed May 12 21:43:20 PDT 2021","","","","13","0% (0/0)","0% (0/0)","0% (0/0)","Asian Mll, Westminster, California","It is an indoor mall where you can try a lot of delicious Vietnamese's foods. There are jewelry stores and clothing stores.","Beautiful shopping mall with all kind so products, food and shopping stuff but tourist never find out about it.","Like location. Is very fun go with friends and party.","Really beaut. I want go for fun. Is very interesting place. Blogging is fun.","d1"
"32L724R86PZHRTDMS1P3L5RX303IPZ","3G39WTVP4GNUXFB6S0SNR0K0RFO6L8","Answer one multiple choice question about a location and its descriptions.","Please choose the description which best suits the location.","descriptions, writing","$0.02","Sun May 09 21:37:57 PDT 2021","10","BatchId:4436285;OriginalHitTemplateId:928390912;","3600","259200","Sun May 16 21:37:57 PDT 2021","","","3FPRZHYEP3MHSUPTJCWHCA9DVDZV33","A21F3JVYYDOQ7W","Submitted","Sun May 09 23:00:00 PDT 2021","Sun May 09 23:12:40 PDT 2021","Wed May 12 23:12:40 PDT 2021","","","","760","0% (0/0)","0% (0/0)","0% (0/0)","Asian Mll, Westminster, California","It is an indoor mall where you can try a lot of delicious Vietnamese's foods. There are jewelry stores and clothing stores.","Beautiful shopping mall with all kind so products, food and shopping stuff but tourist never find out about it.","Like location. Is very fun go with friends and party.","Really beaut. I want go for fun. Is very interesting place. Blogging is fun.","d1"
"32L724R86PZHRTDMS1P3L5RX303IPZ","3G39WTVP4GNUXFB6S0SNR0K0RFO6L8","Answer one multiple choice question about a location and its descriptions.","Please choose the description which best suits the location.","descriptions, writing","$0.02","Sun May 09 21:37:57 PDT 2021","10","BatchId:4436285;OriginalHitTemplateId:928390912;","3600","259200","Sun May 16 21:37:57 PDT 2021","","","3FPRZHYEP3MHSUPTJCWHCA9DVEM3V0","A2115OWJ0CKOB3","Submitted","Mon May 10 06:28:33 PDT 2021","Mon May 10 06:28:54 PDT 2021","Thu May 13 06:28:54 PDT 2021","","","","21","0% (0/0)","0% (0/0)","0% (0/0)","Asian Mll, Westminster, California","It is an indoor mall where you can try a lot of delicious Vietnamese's foods. There are jewelry stores and clothing stores.","Beautiful shopping mall with all kind so products, food and shopping stuff but tourist never find out about it.","Like location. Is very fun go with friends and party.","Really beaut. I want go for fun. Is very interesting place. Blogging is fun.","d1"
"32L724R86PZHRTDMS1P3L5RX303IPZ","3G39WTVP4GNUXFB6S0SNR0K0RFO6L8","Answer one multiple choice question about a location and its descriptions.","Please choose the description which best suits the location.","descriptions, writing","$0.02","Sun May 09 21:37:57 PDT 2021","10","BatchId:4436285;OriginalHitTemplateId:928390912;","3600","259200","Sun May 16 21:37:57 PDT 2021","","","3HHRAGRYXDK8HC5CZ9BD8VIRZDGO9H","A2AA0GM76ENV5C","Submitted","Mon May 10 01:00:01 PDT 2021","Mon May 10 01:00:54 PDT 2021","Thu May 13 01:00:54 PDT 2021","","","","53","0% (0/0)","0% (0/0)","0% (0/0)","Asian Mll, Westminster, California","It is an indoor mall where you can try a lot of delicious Vietnamese's foods. There are jewelry stores and clothing stores.","Beautiful shopping mall with all kind so products, food and shopping stuff but tourist never find out about it.","Like location. Is very fun go with friends and party.","Really beaut. I want go for fun. Is very interesting place. Blogging is fun.","d1"
"32L724R86PZHRTDMS1P3L5RX303IPZ","3G39WTVP4GNUXFB6S0SNR0K0RFO6L8","Answer one multiple choice question about a location and its descriptions.","Please choose the description which best suits the location.","descriptions, writing","$0.02","Sun May 09 21:37:57 PDT 2021","10","BatchId:4436285;OriginalHitTemplateId:928390912;","3600","259200","Sun May 16 21:37:57 PDT 2021","","","3MAOD8E57VPG0NNY1AHE9944G6NXNF","A3FV0BGX5UJAGB","Submitted","Mon May 10 06:46:39 PDT 2021","Mon May 10 06:48:37 PDT 2021","Thu May 13 06:48:37 PDT 2021","","","","118","0% (0/0)","0% (0/0)","0% (0/0)","Asian Mll, Westminster, California","It is an indoor mall where you can try a lot of delicious Vietnamese's foods. There are jewelry stores and clothing stores.","Beautiful shopping mall with all kind so products, food and shopping stuff but tourist never find out about it.","Like location. Is very fun go with friends and party.","Really beaut. I want go for fun. Is very interesting place. Blogging is fun.","d2"
"32L724R86PZHRTDMS1P3L5RX303IPZ","3G39WTVP4GNUXFB6S0SNR0K0RFO6L8","Answer one multiple choice question about a location and its descriptions.","Please choose the description which best suits the location.","descriptions, writing","$0.02","Sun May 09 21:37:57 PDT 2021","10","BatchId:4436285;OriginalHitTemplateId:928390912;","3600","259200","Sun May 16 21:37:57 PDT 2021","","","3RSDURM96F116M0VD70X20H44KVYEC","A2H8COLIKXJRI1","Submitted","Mon May 10 01:05:07 PDT 2021","Mon May 10 01:05:53 PDT 2021","Thu May 13 01:05:53 PDT 2021","","","","46","0% (0/0)","0% (0/0)","0% (0/0)","Asian Mll, Westminster, California","It is an indoor mall where you can try a lot of delicious Vietnamese's foods. There are jewelry stores and clothing stores.","Beautiful shopping mall with all kind so products, food and shopping stuff but tourist never find out about it.","Like location. Is very fun go with friends and party.","Really beaut. I want go for fun. Is very interesting place. Blogging is fun.","d1"
"32L724R86PZHRTDMS1P3L5RX303IPZ","3G39WTVP4GNUXFB6S0SNR0K0RFO6L8","Answer one multiple choice question about a location and its descriptions.","Please choose the description which best suits the location.","descriptions, writing","$0.02","Sun May 09 21:37:57 PDT 2021","10","BatchId:4436285;OriginalHitTemplateId:928390912;","3600","259200","Sun May 16 21:37:57 PDT 2021","","","3S0TNUHWKYXHZAVD48RJX5BHBTE8D2","A3AZ8P0AON4FXV","Submitted","Mon May 10 06:57:19 PDT 2021","Mon May 10 06:57:37 PDT 2021","Thu May 13 06:57:37 PDT 2021","","","","18","0% (0/0)","0% (0/0)","0% (0/0)","Asian Mll, Westminster, California","It is an indoor mall where you can try a lot of delicious Vietnamese's foods. There are jewelry stores and clothing stores.","Beautiful shopping mall with all kind so products, food and shopping stuff but tourist never find out about it.","Like location. Is very fun go with friends and party.","Really beaut. I want go for fun. Is very interesting place. Blogging is fun.","d2"
"32L724R86PZHRTDMS1P3L5RX303IPZ","3G39WTVP4GNUXFB6S0SNR0K0RFO6L8","Answer one multiple choice question about a location and its descriptions.","Please choose the description which best suits the location.","descriptions, writing","$0.02","Sun May 09 21:37:57 PDT 2021","10","BatchId:4436285;OriginalHitTemplateId:928390912;","3600","259200","Sun May 16 21:37:57 PDT 2021","","","3ZV9H2YQQIMU7JPY9M1DYCSR2MXW3A","A2T4WARP8VL33P","Submitted","Sun May 09 22:33:53 PDT 2021","Sun May 09 22:34:13 PDT 2021","Wed May 12 22:34:13 PDT 2021","","","","20","0% (0/0)","0% (0/0)","0% (0/0)","Asian Mll, Westminster, California","It is an indoor mall where you can try a lot of delicious Vietnamese's foods. There are jewelry stores and clothing stores.","Beautiful shopping mall with all kind so products, food and shopping stuff but tourist never find out about it.","Like location. Is very fun go with friends and party.","Really beaut. I want go for fun. Is very interesting place. Blogging is fun.","d1"
